,piece,|S|,repID,time
0,0,1,1,0.013892889022827148
1,0,1,2,0.013153076171875
2,0,1,3,0.012080192565917969
3,0,1,4,0.010744094848632812
4,0,1,5,0.01073002815246582
5,0,1,6,0.01075291633605957
6,0,1,7,0.010573148727416992
7,0,1,8,0.011024951934814453
8,0,1,9,0.01094198226928711
9,0,1,10,0.01076197624206543
10,0,2,1,0.030222177505493164
11,0,2,2,0.02353811264038086
12,0,2,3,0.02205824851989746
13,0,2,4,0.0261991024017334
14,0,2,5,0.024894237518310547
15,0,2,6,0.024463176727294922
16,0,2,7,0.023223161697387695
17,0,2,8,0.023777008056640625
18,0,2,9,0.023054122924804688
19,0,2,10,0.022993087768554688
20,0,3,1,0.03895878791809082
21,0,3,2,0.039700984954833984
22,0,3,3,0.0390169620513916
23,0,3,4,0.03571605682373047
24,0,3,5,0.03681159019470215
25,0,3,6,0.03600502014160156
26,0,3,7,0.03504586219787598
27,0,3,8,0.03982424736022949
28,0,3,9,0.03617715835571289
29,0,3,10,0.035321950912475586
30,0,4,1,0.05201292037963867
31,0,4,2,0.05248618125915527
32,0,4,3,0.057142019271850586
33,0,4,4,0.054582834243774414
34,0,4,5,0.05279898643493652
35,0,4,6,0.05528688430786133
36,0,4,7,0.05195188522338867
37,0,4,8,0.058621883392333984
38,0,4,9,0.054646968841552734
39,0,4,10,0.05027508735656738
40,0,5,1,0.06925797462463379
41,0,5,2,0.06694197654724121
42,0,5,3,0.06918692588806152
43,0,5,4,0.06475496292114258
44,0,5,5,0.08054184913635254
45,0,5,6,0.06733489036560059
46,0,5,7,0.06895995140075684
47,0,5,8,0.07848381996154785
48,0,5,9,0.0767521858215332
49,0,5,10,0.06614089012145996
50,0,7,1,0.10854673385620117
51,0,7,2,0.09531378746032715
52,0,7,3,0.10506606101989746
53,0,7,4,0.10382723808288574
54,0,7,5,0.10277318954467773
55,0,7,6,0.10355997085571289
56,0,7,7,0.10249090194702148
57,0,7,8,0.09703707695007324
58,0,7,9,0.10360598564147949
59,0,7,10,0.0975799560546875
60,0,8,1,0.15562105178833008
61,0,8,2,0.18216586112976074
62,0,8,3,0.14858293533325195
63,0,8,4,0.1496140956878662
64,0,8,5,0.1640918254852295
65,0,8,6,0.1504528522491455
66,0,8,7,0.14664196968078613
67,0,8,8,0.14754509925842285
68,0,8,9,0.15577411651611328
69,0,8,10,0.15549993515014648
70,0,10,1,0.08060002326965332
71,0,10,2,0.07894182205200195
72,0,10,3,0.07827401161193848
73,0,10,4,0.08050107955932617
74,0,10,5,0.0775899887084961
75,0,10,6,0.07683515548706055
76,0,10,7,0.08310508728027344
77,0,10,8,0.0794072151184082
78,0,10,9,0.0814969539642334
79,0,10,10,0.08254003524780273
80,0,11,1,0.08575320243835449
81,0,11,2,0.08526372909545898
82,0,11,3,0.09236598014831543
83,0,11,4,0.08573007583618164
84,0,11,5,0.08437800407409668
85,0,11,6,0.08857917785644531
86,0,11,7,0.08344483375549316
87,0,11,8,0.0833740234375
88,0,11,9,0.0915079116821289
89,0,11,10,0.08502793312072754
90,0,14,1,0.1087031364440918
91,0,14,2,0.11010289192199707
92,0,14,3,0.1099088191986084
93,0,14,4,0.11126303672790527
94,0,14,5,0.10980391502380371
95,0,14,6,0.10828804969787598
96,0,14,7,0.11563420295715332
97,0,14,8,0.11313986778259277
98,0,14,9,0.105377197265625
99,0,14,10,0.11496210098266602
100,0,17,1,0.1488966941833496
101,0,17,2,0.14269208908081055
102,0,17,3,0.13039517402648926
103,0,17,4,0.13692784309387207
104,0,17,5,0.1335599422454834
105,0,17,6,0.13938689231872559
106,0,17,7,0.13095903396606445
107,0,17,8,0.13332486152648926
108,0,17,9,0.127471923828125
109,0,17,10,0.3610420227050781
110,0,20,1,0.16175603866577148
111,0,20,2,0.15729832649230957
112,0,20,3,0.15855169296264648
113,0,20,4,0.16109609603881836
114,0,20,5,0.15534281730651855
115,0,20,6,0.1630840301513672
116,0,20,7,0.15352678298950195
117,0,20,8,0.16654396057128906
118,0,20,9,0.15529990196228027
119,0,20,10,0.1606769561767578
120,0,24,1,0.2245340347290039
121,0,24,2,0.20446109771728516
122,0,24,3,0.19874811172485352
123,0,24,4,0.20838403701782227
124,0,24,5,0.19506502151489258
125,0,24,6,0.2086467742919922
126,0,24,7,0.2049248218536377
127,0,24,8,0.2006680965423584
128,0,24,9,0.20289397239685059
129,0,24,10,0.19756531715393066
130,0,28,1,0.24348711967468262
131,0,28,2,0.46061229705810547
132,0,28,3,0.26224493980407715
133,0,28,4,0.24184918403625488
134,0,28,5,0.24036312103271484
135,0,28,6,0.24180889129638672
136,0,28,7,0.2515428066253662
137,0,28,8,0.2469797134399414
138,0,28,9,0.24982595443725586
139,0,28,10,0.24396300315856934
140,0,34,1,0.31888794898986816
141,0,34,2,0.3004133701324463
142,0,34,3,0.306934118270874
143,0,34,4,0.29717397689819336
144,0,34,5,0.3028371334075928
145,0,34,6,0.5283608436584473
146,0,34,7,0.2962839603424072
147,0,34,8,0.3009812831878662
148,0,34,9,0.3045310974121094
149,0,34,10,0.2986111640930176
150,0,41,1,0.38526487350463867
151,0,41,2,0.3884541988372803
152,0,41,3,0.37918519973754883
153,0,41,4,0.3822929859161377
154,0,41,5,0.39819908142089844
155,0,41,6,0.3861198425292969
156,0,41,7,0.3774549961090088
157,0,41,8,0.6067941188812256
158,0,41,9,0.3795127868652344
159,0,41,10,0.38810086250305176
160,0,49,1,0.5296661853790283
161,0,49,2,0.511681079864502
162,0,49,3,0.493304967880249
163,0,49,4,0.5202088356018066
164,0,49,5,0.5035631656646729
165,0,49,6,0.499011754989624
166,0,49,7,0.7282648086547852
167,0,49,8,0.4927828311920166
168,0,49,9,0.5267531871795654
169,0,49,10,0.5222158432006836
170,0,58,1,0.6043848991394043
171,0,58,2,0.5832812786102295
172,0,58,3,0.6092531681060791
173,0,58,4,0.6055796146392822
174,0,58,5,0.8523581027984619
175,0,58,6,0.5997240543365479
176,0,58,7,0.601017951965332
177,0,58,8,0.6052331924438477
178,0,58,9,0.6206343173980713
179,0,58,10,0.6100387573242188
180,0,70,1,0.7568340301513672
181,0,70,2,0.9866349697113037
182,0,70,3,0.7627360820770264
183,0,70,4,0.7946953773498535
184,0,70,5,0.7831239700317383
185,0,70,6,0.7678928375244141
186,0,70,7,0.7759881019592285
187,0,70,8,1.023676872253418
188,0,70,9,0.7903931140899658
189,0,70,10,0.7480549812316895
190,0,83,1,0.9263999462127686
191,0,83,2,0.968458890914917
192,0,83,3,1.2007009983062744
193,0,83,4,0.9420650005340576
194,0,83,5,0.9285449981689453
195,0,83,6,0.9090068340301514
196,0,83,7,0.9733550548553467
197,0,83,8,1.2258679866790771
198,0,83,9,0.9305651187896729
199,0,83,10,0.9612140655517578
200,0,100,1,1.2227330207824707
201,0,100,2,1.1987760066986084
202,0,100,3,1.4380137920379639
203,0,100,4,1.2835910320281982
204,0,100,5,1.219742774963379
205,0,100,6,1.262312889099121
206,0,100,7,1.539991855621338
207,0,100,8,1.3131608963012695
208,0,100,9,1.3477239608764648
209,0,100,10,1.425732135772705
210,0,119,1,2.0268971920013428
211,0,119,2,1.7282240390777588
212,0,119,3,1.6649971008300781
213,0,119,4,1.9023029804229736
214,0,119,5,1.6335461139678955
215,0,119,6,1.5913701057434082
216,0,119,7,1.6477220058441162
217,0,119,8,1.849761724472046
